regulator	target
29 	 27
13 	 30
2 	 11
23 	 11
20 	 12
24 	 14
3 	 23
22 	 23
26 	 11
27 	 22
16 	 21
12 	 29
11 	 30
20 	 30
9 	 26
6 	 30
13 	 15
18 	 24
25 	 3
5 	 6
16 	 18
8 	 24
27 	 20
30 	 17
30 	 4
1 	 20
22 	 10
25 	 23
6 	 15
4 	 25
5 	 8
21 	 4
11 	 26
8 	 14
22 	 28
27 	 7
8 	 5
19 	 30
2 	 25
21 	 2
7 	 4
2 	 24
8 	 20
25 	 12
4 	 6
12 	 1
17 	 11
22 	 2
11 	 25
10 	 5
17 	 22
30 	 6
12 	 21
12 	 14
17 	 3
23 	 21
8 	 10
30 	 15
1 	 26
2 	 26
14 	 19
21 	 4
7 	 13
8 	 11
3 	 22
25 	 14
8 	 11
7 	 22
21 	 10
26 	 16
21 	 15
1 	 12
8 	 7
16 	 29
29 	 30
26 	 18
16 	 1
21 	 10
2 	 29
7 	 29
28 	 6
3 	 20
22 	 19
12 	 9
23 	 10
27 	 17
23 	 25
16 	 6
24 	 27
25 	 1
5 	 14
10 	 30
25 	 22
27 	 13
12 	 29
13 	 27
12 	 30
11 	 19
25 	 3
17 	 11
1	2
2	3
3	1
3	4
4	5
4	3
5	6
6	4
